date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-22,Anhui,31.8257,117.2264,1,0,0,1,100.0,100.0,632.4
2020-01-22,Beijing,40.1824,116.4142,14,0,0,14,100.0,100.0,215.4
2020-01-22,Chongqing,30.0572,107.874,6,0,0,6,100.0,100.0,310.2
2020-01-22,Fujian,26.0789,117.9874,1,0,0,1,100.0,100.0,394.1
2020-01-22,Gansu,35.7518,104.2861,0,0,0,0,0.0,0.0,263.7
2020-01-22,Guangdong,23.3417,113.4244,26,0,0,26,100.0,100.0,1134.6
2020-01-22,Guangxi,23.8298,108.7881,2,0,0,2,100.0,100.0,492.6
2020-01-22,Guizhou,26.8154,106.8748,1,0,0,1,100.0,100.0,360.0
2020-01-22,Hainan,19.1959,109.7453,4,0,0,4,100.0,100.0,93.4
2020-01-22,Hebei,39.549,116.1306,1,0,0,1,100.0,100.0,755.6
2020-01-22,Heilongjiang,47.861999999999995,127.7615,0,0,0,0,0.0,0.0,377.3
2020-01-22,Henan,37.8957,114.9042,5,0,0,5,100.0,100.0,960.5
2020-01-22,Hong Kong,22.3,114.2,0,0,0,0,0.0,0.0,74.96988
2020-01-22,Hubei,30.9756,112.2707,444,17,28,399,100.0,100.0,591.7
2020-01-22,Hunan,27.6104,111.7088,4,0,0,4,100.0,100.0,689.9
2020-01-22,Inner Mongolia,44.0935,113.9448,0,0,0,0,0.0,0.0,253.4
2020-01-22,Jiangsu,32.9711,119.455,1,0,0,1,100.0,100.0,805.1
2020-01-22,Jiangxi,27.614,115.7221,2,0,0,2,100.0,100.0,464.8
2020-01-22,Jilin,43.6661,126.1923,0,0,0,0,0.0,0.0,270.4
2020-01-22,Liaoning,41.2956,122.6085,2,0,0,2,100.0,100.0,435.9
2020-01-22,Macau,22.1667,113.55,1,0,0,1,100.0,100.0,6.49342
2020-01-22,Ningxia,37.2692,106.1655,1,0,0,1,100.0,100.0,68.8
2020-01-22,Qinghai,35.7452,95.9956,0,0,0,0,0.0,0.0,60.3
2020-01-22,Shaanxi,35.1917,108.8701,0,0,0,0,0.0,0.0,386.4
2020-01-22,Shandong,36.3427,118.1498,2,0,0,2,100.0,100.0,1004.7
2020-01-22,Shanghai,31.201999999999998,121.4491,9,0,0,9,100.0,100.0,242.4
2020-01-22,Shanxi,37.5777,112.2922,1,0,0,1,100.0,100.0,371.8
2020-01-22,Sichuan,30.6171,102.7103,5,0,0,5,100.0,100.0,834.1
2020-01-22,Tianjin,39.3054,117.323,4,0,0,4,100.0,100.0,156.0
2020-01-22,Tibet,31.6927,88.0924,0,0,0,0,0.0,0.0,34.4
2020-01-22,Xinjiang,41.1129,85.2401,0,0,0,0,0.0,0.0,248.7
2020-01-22,Yunnan,24.974,101.48700000000001,1,0,0,1,100.0,100.0,483.0
2020-01-22,Zhejiang,29.1832,120.0934,10,0,0,10,100.0,100.0,573.7
2020-01-23,Anhui,31.8257,117.2264,9,0,0,9,100.0,100.0,632.4
2020-01-23,Beijing,40.1824,116.4142,22,0,0,22,100.0,100.0,215.4
2020-01-23,Chongqing,30.0572,107.874,9,0,0,9,100.0,100.0,310.2
2020-01-23,Fujian,26.0789,117.9874,5,0,0,5,100.0,100.0,394.1
2020-01-23,Gansu,35.7518,104.2861,2,0,0,2,100.0,100.0,263.7
2020-01-23,Guangdong,23.3417,113.4244,32,0,2,30,100.0,100.0,1134.6
2020-01-23,Guangxi,23.8298,108.7881,5,0,0,5,100.0,100.0,492.6
2020-01-23,Guizhou,26.8154,106.8748,3,0,0,3,100.0,100.0,360.0
2020-01-23,Hainan,19.1959,109.7453,5,0,0,5,100.0,100.0,93.4
2020-01-23,Hebei,39.549,116.1306,1,1,0,0,100.0,100.0,755.6
2020-01-23,Heilongjiang,47.861999999999995,127.7615,2,0,0,2,100.0,100.0,377.3
2020-01-23,Henan,37.8957,114.9042,5,0,0,5,100.0,100.0,960.5
2020-01-23,Hong Kong,22.3,114.2,2,0,0,2,100.0,100.0,74.96988
2020-01-23,Hubei,30.9756,112.2707,444,17,28,399,100.0,100.0,591.7
2020-01-23,Hunan,27.6104,111.7088,9,0,0,9,100.0,100.0,689.9
2020-01-23,Inner Mongolia,44.0935,113.9448,0,0,0,0,0.0,0.0,253.4
2020-01-23,Jiangsu,32.9711,119.455,5,0,0,5,100.0,100.0,805.1
2020-01-23,Jiangxi,27.614,115.7221,7,0,0,7,100.0,100.0,464.8
2020-01-23,Jilin,43.6661,126.1923,1,0,0,1,100.0,100.0,270.4
2020-01-23,Liaoning,41.2956,122.6085,3,0,0,3,100.0,100.0,435.9
2020-01-23,Macau,22.1667,113.55,2,0,0,2,100.0,100.0,6.49342
