date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2020-01-22,Afghanistan,33.0,65.0,0.0,0.0,0,0.0,0.0,0.0,389.28341
2020-01-22,Albania,41.1533,20.1683,0.0,0.0,0,0.0,0.0,0.0,28.778
2020-01-22,Algeria,28.0339,1.6596,0.0,0.0,0,0.0,0.0,0.0,438.51043
2020-01-22,Andorra,42.5063,1.5218,0.0,0.0,0,0.0,0.0,0.0,0.77265
2020-01-22,Angola,-11.2027,17.8739,0.0,0.0,0,0.0,0.0,0.0,328.66267
2020-01-22,Antigua and Barbuda,17.0608,-61.7964,0.0,0.0,0,0.0,0.0,0.0,0.97928
2020-01-22,Argentina,-38.4161,-63.6167,0.0,0.0,0,0.0,0.0,0.0,451.95777
2020-01-22,Armenia,40.0691,45.0382,0.0,0.0,0,0.0,0.0,0.0,29.63234
2020-01-22,Australia,-31.9961875,141.2327875,0.0,0.0,0,0.0,0.0,0.0,254.99881
2020-01-22,Austria,47.5162,14.5501,0.0,0.0,0,0.0,0.0,0.0,90.064
2020-01-22,Azerbaijan,40.1431,47.5769,0.0,0.0,0,0.0,0.0,0.0,101.39175
2020-01-22,Bahamas,25.0343,-77.3963,0.0,0.0,0,0.0,0.0,0.0,3.93248
2020-01-22,Bahrain,26.0275,50.55,0.0,0.0,0,0.0,0.0,0.0,17.01582
2020-01-22,Bangladesh,23.685,90.3563,0.0,0.0,0,0.0,0.0,0.0,1646.89383
2020-01-22,Barbados,13.1939,-59.5432,0.0,0.0,0,0.0,0.0,0.0,2.87371
2020-01-22,Belarus,53.7098,27.9534,0.0,0.0,0,0.0,0.0,0.0,94.49321
2020-01-22,Belgium,50.8333,4.0,0.0,0.0,0,0.0,0.0,0.0,115.89616
2020-01-22,Belize,13.1939,-59.5432,0.0,0.0,0,0.0,0.0,0.0,3.97621
2020-01-22,Benin,9.3077,2.3158,0.0,0.0,0,0.0,0.0,0.0,121.23198
2020-01-22,Bhutan,27.5142,90.4336,0.0,0.0,0,0.0,0.0,0.0,7.71612
2020-01-22,Bolivia,-16.2902,-63.5887,0.0,0.0,0,0.0,0.0,0.0,116.73028
2020-01-22,Bosnia and Herzegovina,43.9159,17.6791,0.0,0.0,0,0.0,0.0,0.0,32.80815
2020-01-22,Botswana,-22.3285,24.6849,0.0,0.0,0,0.0,0.0,0.0,23.51625
